City,Value,Date,Source,Notes
Amsterdam,4,,IDFA Institute,Amount of festivals = estimation; Feiten en cijfers
Austin,25,,Visit Austin,For more information on AFF attendance see: https://www.austintexas.org/film-commission/festivals/
Barcelona,51,,Obseratori Dades Culturals Barcelona,"The average per year is calculated for the years 2019, 2022, 2023 and 2024. The data for the largest festival are from 2024."
Brasilia,4,,Supplied by City,"Festival de Brasília do Cinema Brasileiro: Es el festival de cine más antiguo de Brasil, celebrado anualmente desde 1965. 

BIFF – Brasília International Film Festival: Festival internacional que se enfoca en la exhibición de largometrajes de diversos países.

Cinema Urbana: Festival internacional de cine de arquitectura que se realiza anualmente desde 2018. 
FilmFreeway

Festival de Cinema ALUB: Evento dedicado a la promoción del cine en el ámbito educativo."
Cologne,10,,Supplied by City,
Dubai,2,2024,Supplied by City,
Edinburgh,5,,City of Edinburgh,
Hong Kong,31,2023,Supplied by City,"Average no per year included film festival only, feature film screening is excluded; Annual Arts Survey 2022/23

Page 39 in 
https://www.hkiff.org.hk/upload/reports/OuMRWJX2KR-HKIFFS%202022-2023%20Annual%20Report_20231114%20(compressed).pdf"
London,147,,Radiant Circus,"The UK film festivals you need to know: 2024 dates, submission and contact details | Features | Screen"
Los Angeles,77,,Supplied by City,"Extrapolated and cleaned from available data; Largest festival and attendance at largest festival were derived from Claude on May 14, 2025. Prompt: ""generate a list of all the film festivals in los angeles. cite your sources."" with a follow-up prompt: ""which festival had the largest number of attendees?""; Discover Hollywood Magazine (2022)-Source: https://www.discoverhollywood.com/Arts-and-Entertainment/Film-Festivals.aspx; California Film Commission (no date, website accessed on May 14, 2025)-https://film.ca.gov/production/festivals-contests/; LA Film Festivals (no date, website accessed on May 14, 2025)-https://www.lafilmfestivals.com/"
Melbourne,62,,FilmFreeway,2022 figure
Montreal,24,,Supplied by City,https://nouveaucinema.ca/fr
Nanjing,1,,Supplied by City,
New York,20,,iLoveNY,https://www.iloveny.com/events/film-festivals/
Oslo,15,,Festival Kontoret,Festivalkontoret.no
Paris,89,,Ministère de la culture,https://data.culture.gouv.fr/explore/dataset/festivals-global-festivals-_-pl/table/?refine.region_principale_de_deroulement=%C3%8Ele-de-France
Rio de Janeiro,5,,Supplied by City,250.000 espectadores por edición.
Seoul,51,,KOFIC,"* N/A(There is a lack of domestic festival statistics corresponding to this indicator.) ""1) 2024 South Korean Film Industry Annual Report (KOFIC, April 2025), pp.119–120 – Figure 41, Table 90
file:///C:/Users/User/Downloads/[KOFIC+%EC%97%B0%EA%B5%AC+2025-02]+2024%EB%85%84+%ED%95%9C%EA%B5%AD+%EC%98%81%ED%99%94%EC%82%B0%EC%97%85+%EA%B2%B0%EC%82%B0(%EC%B5%9C%EC%A2%85).pdf

Definition of Film Festival:
Refers to film screening events that fall under either (1) those recommended for exemption from the Korea Media Rating Board's film screening classification, or (2) those supported by the domestic film festival support program. Events whose titles include the term """"film festival"""" are also included.

Table 90 – Data from 2020 to 2024:
2020: 40 festivals
2021: 43 festivals
2022: 56 festivals
2024: 65 festivals

Average Annual Number of Film Festivals in Seoul (2020–2024): Approximately 51 festivals per year.

Note: Among the festivals hosted/organized/operated in Seoul, the largest festival is identified based on the number of submitted films. """
Stockholm,26,,Stockholm Culture Department,
Taipei,4,,Supplied by City,"1.Taipei Golden Horse Film Festival
2.Golden Horse Classic Film Festival
3.Golden Horse Fantastic Film Festival 
4.Taipei Film Festival; These film festivals are organized by government"
Toronto,130,,Supplied by City,
Warsaw,16,,Culture Department of the Capital City of Warsaw,(festivals financially supported by the capital city of Warsaw)
