City,Value,Date,Source,Notes
Amsterdam,155,,Amsterdam Dance Event,Amount of festivals = data from 2019 from Boekman Stichting
Austin,39,,Visit Austin,For more on ACL attendees see Community Impact statement: https://www.aclfestival.com/community-impact? / https://www.austintexas.org/music-scene/festivals/
Barcelona,61,,Obseratori Dades Culturals Barcelona,"The average per year is calculated for the years 2019, 2022, 2023 and 2024. The data for the largest festival are from 2024."
Brasilia,10,,Supplied by City,"Porão do Rock: Festival de rock independiente que reúne bandas locales e internacionales. 
candlelightexperience.com

Festival CoMA (Convenção de Música e Arte): Evento que combina música y arte, promoviendo talentos emergentes.

Federal Music: Festival de música electrónica que atrae a DJs y productores de renombre. 

Funn Festival: Evento que combina música, gastronomía y entretenimiento para toda la familia.

Festival Música Transforma: Festival que busca promover la inclusión social a través de la música.

https://blog.blablacar.com.br/eventos/festivais-de-musica-de-brasilia"
Cologne,15,,Supplied by City,
Dubai,28,2024,Supplied by City,
Hong Kong,18,2023,Supplied by City,2023 data; https://mixmag.asia/feature/clockenflap-2023-return-hong-kong-afterparties-second-edition
London,77,,Skiddle,London Festivals 2025 - Festivals in London
Los Angeles,23,,Supplied by City,"Mix of years, mostly 2024 and 2025; No free access to attendance figures for festivals found. Coachella often listed as a festival in LA but was not included in this count, as it is outside of LA County;  Source: Music Festival Wizard - https://www.musicfestivalwizard.com/festival-guide/los-angeles/#:~:text=Cruel%20World%20Festival%202025,%2D%203%2C%202025%20/%20BUY%20TICKETS; Timeout LA - https://www.timeout.com/los-angeles/music/music-festivals; Secret Los Angeles - https://secretlosangeles.com/la-music-festivals/; Discover Los Angeles - https://www.discoverlosangeles.com/events; Mix Recording Studio - https://mixrecordingstudio.com/blog/Top%2010%20LA%20Music%20Festivals%3A%20A%20Must-Attend%20List%20for%20Music%20Artists%20and%20Producers/; Visit Long Beach - https://www.visitlongbeach.com/blog/annual-music-festivals-in-long-beach/); Gitnux (https://gitnux.org/music-festival-attendance-statistics/"
Montreal,28,,Supplied by City,https://montrealjazzfest.com/
Nanjing,10,,"Nanjing Culture and Tourism Bureau 
南京市文旅局",
Oslo,10,,Oslo musikråd,
Paris,271,,Ministère de la culture,"https://actu.fr/ile-de-france/le-plessis-pate_91494/la-fete-de-l-humanite-bat-son-record-d-affluence-depuis-son-demenagement-en-essonne_61608516.html#:~:text=Le%20Plessis%2DP%C3%A2t%C3%A9-,La%20F%C3%AAte%20de%20l'Humanit%C3%A9%20bat%20son%20record%20d'affluence,de%20plus%20qu'en%202023."
Sao Paulo,50,,Observatorio de Turismo,Observatorio de Turismo 2023 https://observatoriodeturismo.com.br/wp-admin/admin-ajax.php?juwpfisadmin=false&action=wpfd&task=file.download&wpfd_category_id=233&wpfd_file_id=4948&token=0f790ff9ab5335b66e901fa589e720fe&preview=1
Stockholm,15,,Stockholm Culture Department,
Taipei,5,,Supplied by City,"Trendy Taipei
Taipei Jazz Festival
Taipei Music Never Dies
TSO Concert Season
TCO Concert Season; These music festivals are organized by Taipei City Culture Department"
Warsaw,26,,Culture Department of the Capital City of Warsaw,(festivals financially supported by the capital city of Warsaw)
